# Vehicle, site1,site2,site3,site4,site5
75.0000000000,1.2338430000,1.7111267315,9.5113224858,9.7613224858,10.8749845259
76.0000000000,1.2410646667,2.9293235391,5.1774905172,10.8497559654,11.0997559654
77.0000000000,1.2823235000,3.1710244914,5.1406598426,5.5156598426,13.3509882586
78.0000000000,1.3124166667,5.1921177654,12.7608375211,13.3858375211,14.1358375211
79.0000000000,1.3157271667,5.6803909027,5.8053909027,8.0535578809,15.9528052188
80.0000000000,1.3359085000,6.1437099526,6.3937099526,14.2290383687,14.9790383687
81.0000000000,1.3386286667,3.0268875391,6.4216260004,6.6716260004,7.0466260004
82.0000000000,1.3733463333,2.2174757695,3.9057346419,9.5780000901,9.8280000901
83.0000000000,1.4031421667,4.4080180746,6.6561850527,7.0311850527,7.2811850527
84.0000000000,1.4076575000,1.6576575000,3.6272928511,12.4420373192,12.8170373192
85.0000000000,1.4332175000,2.0582175000,2.9023469362,9.2931087604,10.2476762233
86.0000000000,1.4343208333,3.9667091419,4.4667091419,5.0917091419,5.2167091419
87.0000000000,1.4360588333,1.6860588333,4.6909347412,6.9391017194,14.5078214750
88.0000000000,1.4530321667,2.2971616029,3.0471616029,3.4221616029,4.5358236429
89.0000000000,1.4742228333,2.5235011619,2.8985011619,3.3182124933,3.7954962248
90.0000000000,1.4744020000,2.5984854891,3.5530529520,5.4417539434,5.6917539434
91.0000000000,1.5223820000,8.4558893372,11.8281398044,12.7031398044,12.9531398044
92.0000000000,1.5418020000,7.2140674482,15.0493958643,15.6743958643,16.4243958643
93.0000000000,1.5508703333,1.8690594876,3.8386948388,11.4074145944,17.7981764186
94.0000000000,1.5603248333,4.1831863078,4.4331863078,7.0560477824,7.3742369367
95.0000000000,1.5648053333,1.6898053333,8.0711039626,10.6034922711,11.4784922711
96.0000000000,1.5782885000,4.1106768086,11.8430088045,12.2180088045,15.2155647754
97.0000000000,1.5798773333,1.9995886648,5.0044645727,7.2526315508,15.1518788887
98.0000000000,1.5860423333,4.4958181574,4.9731018888,5.2231018888,6.6299842825
99.0000000000,1.6426955000,8.8323025522,8.9573025522,16.1469096044,16.3969096044
