# Vehicle, site1,site2,site3,site4,site5
61.0000000000,1.0387502420,2.8274069139,3.0774069139,5.4520705089,7.4809147096
62.0000000000,1.0626367206,1.5406033425,4.2539645498,4.5039645498,5.8233495794
63.0000000000,1.0636498074,1.6499813216,2.4229527183,2.8337669208,5.9152616568
64.0000000000,1.0700049375,2.4737278115,4.4872640685,5.0291776486,5.6541776486
65.0000000000,1.1018243391,1.2611711733,3.0507462811,3.3106362352,5.1604884255
66.0000000000,1.1277390912,1.8313467703,2.1476254836,3.4373067961,6.4325337831
67.0000000000,1.1317258825,1.3848195418,3.6304981773,3.8804981773,5.8674109911
68.0000000000,1.1422208374,2.4848327347,2.7702921007,3.1715361401,3.5855427068
69.0000000000,1.1448365090,1.3096821787,2.6684800057,5.2121736730,5.4621736730
70.0000000000,1.1491094589,1.4496230324,3.2119211316,4.2737378990,5.5621090379
71.0000000000,1.1545635746,2.3148790803,2.4398790803,5.4474161515,5.7005787449
72.0000000000,1.2025284043,2.7689441441,5.1968442265,5.5718442265,7.2211057416
73.0000000000,1.2158366018,1.7138382600,2.0039664892,4.2031024717,5.0197243781
74.0000000000,1.2302318900,2.1150398568,5.1778455502,7.7182385671,8.6153857310
75.0000000000,1.2338429676,1.7205694384,4.6674553047,4.9305194117,6.1547323134
76.0000000000,1.2410645870,2.4717406715,3.7226812601,5.6098798221,5.8598798221
77.0000000000,1.2823234686,2.8855728757,3.8996545813,4.2767786299,6.6433548726
78.0000000000,1.3124167462,2.9474786982,5.4556847056,6.0806847056,6.8306847056
79.0000000000,1.3157271221,3.3532858259,3.4782858259,4.6429405022,7.1570849277
80.0000000000,1.3359085635,3.3497423356,3.5997423356,6.1445520410,7.0415928986
81.0000000000,1.3386286791,2.4087013128,3.9145564749,4.2145746588,4.5895746588
82.0000000000,1.3733462583,1.7841900920,2.7627711545,4.7372301550,4.9872301550
83.0000000000,1.4031421467,2.4622686295,3.5058837064,3.8979549353,4.1479549353
84.0000000000,1.4076574790,1.6576574790,2.8499717211,6.1395797536,6.5145797536
85.0000000000,1.4332175792,2.0582175792,2.4526172972,4.4946261438,5.3571567063
86.0000000000,1.4343208654,3.2249244214,3.7249244214,4.3499244214,4.4749244214
87.0000000000,1.4360588775,1.7344792632,2.6954252698,3.9402653708,6.4453974152
88.0000000000,1.4530322430,1.9151492028,2.6651492028,3.0401492028,3.9552277753
89.0000000000,1.4742227896,2.1796178300,2.5900715357,2.8862686906,3.3236351091
90.0000000000,1.4744020433,2.0110006061,2.9011871555,4.0844782659,4.3744220785
91.0000000000,1.5223819482,4.0428664588,6.3182011151,7.1932011151,7.4432011151
92.0000000000,1.5418019606,3.6919504718,5.9803917588,6.6268849214,7.5044903097
93.0000000000,1.5508702671,1.8237551756,3.1209798660,5.6707441251,7.7353850232
94.0000000000,1.5603248752,2.8714398932,3.1542337566,4.7220390295,4.9720390295
95.0000000000,1.5648052521,1.7015359578,4.4121026746,6.8793166109,7.8215832622
96.0000000000,1.5782884785,3.1731893426,5.8853664517,6.2603664517,7.3606814774
97.0000000000,1.5798773505,1.8786167335,2.8815356000,4.3380717274,6.9106352342
98.0000000000,1.5860424097,2.9119196620,3.3535513974,3.6150326031,4.2400326031
99.0000000000,1.6426955385,4.4189043381,4.5559096565,6.4447925239,6.6947925239
